Related,Last,Previous,Unit,Reference,fecha_carga
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-25
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-26
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-26
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-26
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-26
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-26
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-26
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-26
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-26
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-27
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-27
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-27
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-27
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-27
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-27
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-27
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-27
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-28
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-28
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-28
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-28
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-28
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-28
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-28
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-28
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-29
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-29
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-29
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-29
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-29
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-29
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-29
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-29
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-30
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-30
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-30
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-30
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-30
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-30
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-30
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-30
Consumer Price Index CPI,115.66,115.51,points,Jun 2025,2025-07-31
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-07-31
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-07-31
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-07-31
CPI Transportation,113.13,113.2,points,Jun 2025,2025-07-31
Inflation Rate YoY,1.69,1.69,percent,Jun 2025,2025-07-31
Inflation Rate MoM,0.13,-0.06,percent,Jun 2025,2025-07-31
Producer Prices,129.76,130.21,points,Jun 2025,2025-07-31
Consumer Price Index CPI,115.93,115.66,points,Jul 2025,2025-08-01
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-08-01
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-08-01
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-08-01
CPI Transportation,113.13,113.2,points,Jun 2025,2025-08-01
Inflation Rate YoY,1.69,1.69,percent,Jul 2025,2025-08-01
Inflation Rate MoM,0.23,0.13,percent,Jul 2025,2025-08-01
Producer Prices,129.76,130.21,points,Jun 2025,2025-08-01
Consumer Price Index CPI,115.93,115.66,points,Jul 2025,2025-08-02
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-08-02
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-08-02
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-08-02
CPI Transportation,113.13,113.2,points,Jun 2025,2025-08-02
Inflation Rate YoY,1.69,1.69,percent,Jul 2025,2025-08-02
Inflation Rate MoM,0.23,0.13,percent,Jul 2025,2025-08-02
Producer Prices,129.76,130.21,points,Jun 2025,2025-08-02
Consumer Price Index CPI,115.93,115.66,points,Jul 2025,2025-08-03
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-08-03
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-08-03
CPI Housing Utilities,104.15,104.03,points,Jun 2025,2025-08-03
CPI Transportation,113.13,113.2,points,Jun 2025,2025-08-03
Inflation Rate YoY,1.69,1.69,percent,Jul 2025,2025-08-03
Inflation Rate MoM,0.23,0.13,percent,Jul 2025,2025-08-03
Producer Prices,129.76,130.21,points,Jun 2025,2025-08-03
Consumer Price Index CPI,115.93,115.66,points,Jul 2025,2025-08-04
Core Consumer Prices,115.81,115.58,points,Jun 2025,2025-08-04
Core Inflation Rate,2.28,2.28,percent,Jun 2025,2025-08-04
